____Time[ps] Energy[ kJ/mol ]_____Bond _______Angle ____Dihedral ___Planarity _____Coulomb _________VdW _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _RMSDs[A]:CA ____Backbone __HeavyAtoms
       0.000 -1490481.149    26815.450    19254.958   145632.796      247.840 -1945903.692   263471.498    28334.594        7.721       26.769       62.552       18.934       30.156       14.978        8.771       16.768       12.085       20.164       23.513       45.211       25.996       32.915       15.528       20.880       26.477       23.090       25.864       31.020       13.775        8.668       25.570       19.684        8.741       16.142       68.339        0.000        9.689       20.588        1.384        0.000        0.490        0.554        0.669
      50.000 -1127561.060   118197.104    67697.433   148924.839     1023.100 -1654734.839   191331.303    29541.750       10.734       27.040       56.740       19.487       31.932       15.166        8.104       18.476       11.210       20.815       23.661       44.390       26.467       32.910       16.079       19.783       26.122       22.785       25.403       30.743       15.532        8.579       24.255       18.912       10.459       15.675       66.263        0.000       11.765       21.280        0.692        0.000        1.119        1.160        1.398
     100.000 -1121416.031   112685.172    67229.574   148856.516     1060.606 -1640680.107   189432.208    29495.016        7.270       27.133       59.226       19.047       32.778       14.755        8.278       16.823       11.432       19.852       23.594       44.783       26.000       34.163       19.330       20.860       26.612       23.521       26.038       30.333       15.426       10.031       25.137       18.877        9.237       14.535       66.436        0.000       10.381       22.318        0.865        0.000        1.279        1.315        1.586
     150.000 -1116841.983   110366.312    66592.946   149295.212     1094.764 -1629695.120   185503.903    29189.095        7.339       26.918       57.306       19.206       32.843       17.840        9.765       16.480       11.625       19.505       23.718       43.974       26.375       33.652       16.742       20.985       26.530       24.303       25.086       30.591       13.610        9.189       25.134       19.058        9.792       13.337       68.512        0.000        8.304       21.626        1.557        0.000        1.314        1.348        1.613
     200.000 -1113375.069   108435.473    66262.890   149343.508     1063.739 -1623423.906   184943.227    29207.453        7.022       27.019       57.105       18.599       32.641       16.106        9.340       16.203       12.191       19.985       23.693       44.460       26.941       33.339       16.486       21.884       25.941       23.571       25.593       30.194       16.076        8.530       24.221       18.884       10.463       13.460       66.782        0.000        7.612       22.664        2.941        0.000        1.355        1.391        1.661
     250.000 -1111297.697   107287.892    65376.851   149178.251     1090.513 -1615609.294   181378.090    29341.300        9.314       27.127       49.238       20.446       32.369       15.893        9.795       16.957       11.730       19.071       24.003       44.759       26.237       31.332       16.464       21.333       26.306       24.245       26.095       31.526       14.330       10.074       25.236       18.565       11.034       14.340       68.685        0.000        6.228       23.702        1.384        0.000        1.352        1.398        1.662
     300.000 -1109536.407   106698.786    65317.477   149199.218     1096.346 -1612218.597   180370.363    29288.761       10.226       27.146       45.225       19.043       31.235       15.544        9.640       16.674       11.569       19.360       24.099       43.625       26.298       31.142       18.064       21.580       26.626       23.086       26.142       31.728       13.838        8.892       26.459       18.712       11.562       15.877       68.339        0.000        6.228       24.567        0.865        0.000        1.551        1.591        1.880
     350.000 -1108248.239   104015.749    65092.666   149537.532     1087.697 -1608740.222   180758.338    28783.123       16.808       27.141       50.790       19.396       32.759       16.105        9.382       15.780       11.511       19.612       23.706       42.696       25.916       33.211       17.239       21.121       26.165       23.264       25.913       31.746       15.047       10.242       24.126       18.651       11.563       16.065       69.031        0.000        8.304       22.664        0.000        0.000        1.775        1.814        2.072
     400.000 -1107094.248   102776.386    63619.349   150285.867     1187.295 -1605723.833   180760.688    28528.753        8.606       27.030       41.748       19.221       34.734       16.211        9.187       17.163       11.843       19.944       22.974       43.527       25.666       32.415       17.491       21.300       26.736       22.976       25.490       30.010       15.355        9.257       24.588       18.673       11.264       15.860       70.588        0.000        4.844       22.837        1.730        0.000        1.509        1.538        1.877
     450.000 -1105677.202   102682.361    65112.518   149870.372     1127.774 -1606136.689   181666.463    28536.809       12.319       26.901       30.096       19.944       35.149       16.255       10.191       17.248       11.944       19.454       23.392       44.143       26.190       31.824       17.472       21.445       26.492       22.724       25.845       31.669       15.084        8.771       21.807       18.089       12.129       15.979       67.128        0.000       10.381       21.626        0.865        0.000        1.320        1.361        1.717
