____Time[ps] Energy[ kJ/mol ]_____Bond _______Angle ____Dihedral ___Planarity _____Coulomb _________VdW _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _RMSDs[A]:CA ____Backbone __HeavyAtoms
     650.000 -1124195.897   101649.952    63082.804   149838.038     1209.345 -1621694.817   181718.780    29160.117       -0.807       26.940       60.545       21.036       31.261       15.070       10.003       16.207       12.249       19.737       23.919       44.112       26.464       31.673       18.468       21.321       25.838       23.742       26.055       31.970       14.059        8.380       24.165       19.056        9.627       12.361       67.301        0.000        8.304       22.318        2.076        0.000        1.593        1.630        1.996
     700.000 -1124362.893    99639.596    62516.192   150447.609     1104.971 -1624739.987   186668.728    28977.821        3.051       26.914       61.720       19.004       31.978       14.442        9.877       16.540       11.636       20.517       24.127       44.420       25.742       28.923       17.359       21.149       25.858       23.204       25.266       31.528       14.318        8.340       21.476       19.482       10.123       12.708       69.204        0.000        8.304       20.761        1.730        0.000        1.646        1.683        2.031
     750.000 -1124362.944   103126.241    63110.896   149688.952     1073.678 -1618847.534   177484.822    28812.052       10.111       26.997       64.598       20.154       30.474       15.317       10.266       16.024       12.374       20.485       24.412       42.219       26.161       31.495       16.786       21.226       26.600       24.074       26.384       30.754       13.958        8.908       22.447       18.639       10.311       15.227       64.533        0.000        9.689       24.048        1.730        0.000        1.773        1.800        2.104
     800.000 -1125171.748   102014.634    62608.006   149701.113     1066.670 -1624929.510   184367.340    28695.459       -1.823       26.823       68.381       21.579       30.202       13.953       10.111       15.960       11.720       20.106       24.435       42.761       26.061       30.338       16.601       20.386       26.235       25.388       26.190       30.801       13.626        9.195       24.220       19.451       10.902       14.081       67.301        0.000        7.612       23.356        1.730        0.000        1.725        1.747        2.061
     850.000 -1125004.782   102088.691    62501.480   150021.176     1038.979 -1622344.122   181689.013    28699.174        3.273       26.806       66.246       21.428       30.913       14.478        9.746       15.952       11.857       22.309       24.187       43.521       26.419       31.966       16.444       20.622       26.405       24.011       25.330       32.264       14.705        8.811       23.201       20.126       10.021       13.510       69.377        0.000        6.920       21.453        2.249        0.000        1.610        1.640        2.006
     900.000 -1124686.056   100701.693    62749.116   150041.510     1142.921 -1622597.814   183276.518    28699.673        7.604       26.801       68.996       20.399       31.718       15.568       10.171       16.512       11.870       21.116       24.051       43.360       26.060       31.325       16.069       20.538       25.829       23.691       25.943       31.475       15.535       10.427       23.014       19.011       10.147       13.315       67.993        0.000        6.920       23.529        1.557        0.000        1.763        1.787        2.135
     950.000 -1124321.216    98602.892    62828.899   150653.937     1082.127 -1621527.968   184038.896    28457.660        3.713       26.808       67.827       20.241       32.591       14.069        8.496       16.225       11.383       20.753       23.720       43.368       26.401       31.256       17.051       20.489       26.419       24.812       25.635       30.013       14.918       10.357       23.446       19.207       12.407       13.568       69.723        0.000        6.920       23.356        0.000        0.000        1.609        1.638        2.023
    1000.000 -1124502.605   101241.065    62641.048   150261.192     1110.653 -1620686.394   180929.831    28384.545        6.931       26.686       66.121       21.743       31.951       14.281        8.854       15.729       11.622       20.565       23.788       43.495       26.531       33.108       16.293       21.030       25.802       25.371       25.244       31.159       13.876        8.340       23.079       19.118        8.968       15.038       67.647        0.000        6.920       23.702        1.730        0.000        1.778        1.806        2.132
    1050.000 -1124101.216   103259.450    63033.846   149951.954     1133.070 -1620850.436   179370.900    28587.687        4.465       26.777       61.170       20.577       30.948       15.531        9.561       16.138       11.349       20.075       23.877       44.820       26.590       31.897       15.619       21.332       25.870       23.473       25.284       29.995       14.345        9.121       22.546       19.135       10.175       13.551       66.263        0.000        7.612       22.491        3.633        0.000        1.712        1.739        2.126
    1100.000 -1122972.043   100147.755    63222.350   150272.066     1094.016 -1621959.440   184251.210    28463.706        0.650       26.690       60.412       21.884       30.112       14.037        9.823       16.181       11.736       20.073       24.056       43.841       26.678       30.969       16.620       20.711       26.208       24.529       25.626       30.369       15.103       10.487       22.622       18.409       11.655       13.167       68.685        0.000        8.304       23.010        0.000        0.000        1.710        1.741        2.151
