Time[ps] Energy the_rest_Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _Your result _RMSDs[A]:CA ____Backbone __HeavyAtoms
       0.000 -1659448.605    31258.492    24287.766   183098.329      370.798 -2160835.367   262371.377      -99.446      -48.619     -121.474      -62.091      -54.523      -42.501      -39.686      -51.688      -38.592     -121.807     -175.778       34.177      125.116     -124.351     -114.696      -67.160       -8.700      -72.725      126.284      177.588      -90.698      -66.339       88.730       58.972     -111.534      -56.566      -43.476      -48.663      -38.960      -89.637       90.910       90.524      -11.622     -116.130     -167.812       23.134     -118.820      -51.344      151.690     -127.976      -84.223      -49.932      -30.810      -47.823      122.107      -86.049       53.707      137.691     -175.163      -73.299     -178.435     -105.606      -77.380      -83.825      125.983     -157.560       25.486     -127.991     -175.160       38.494       46.543      -92.954      173.401     -119.125     -135.187     -105.287      169.176     -145.682      167.498     -131.096     -129.918       84.540      -60.803      -47.956     -155.908      -97.395      -32.400      -47.156     -134.129      -72.545      110.820     -165.918     -169.731       47.738      -50.516      -47.238      161.782     -114.785      -51.246      -90.590      154.039     -136.909     -169.292     -134.957       65.744        0.000       11.765       21.107        1.384        0.000
     100.000 -1319072.936   108035.299    69190.806   185631.014     1158.769 -1880468.100   197379.276      -90.278      -45.529     -130.644      -77.813      -74.646      -47.789      -32.940      -67.808      -45.914     -124.684     -173.144       39.974      111.251     -133.202     -136.506      -79.667       25.918      -71.814      122.874     -142.853     -120.797      -64.967       69.526       70.864     -127.420      -54.705      -40.517      -47.325      -10.713      -49.696       57.646      122.144        0.607     -105.569     -167.546       29.453     -127.719      -46.803      146.593     -123.132      -53.775      -45.191      -30.888      -49.971      117.584      -85.142       57.178      138.587     -165.317      -66.298      128.484     -122.169      -58.987      -91.208      129.543     -141.283       20.746     -119.529     -173.151       55.598       26.416      -93.870     -162.232     -108.500     -147.611     -116.074     -176.302     -124.854      129.851     -134.349     -117.137      114.465      -69.994      -48.144     -126.313      -74.924      -19.845      -54.252      161.364     -137.555      148.900     -166.574     -135.572       77.508      -78.375      -43.211      168.732     -114.181      -64.202      -95.416      115.305     -134.239     -173.816     -130.515       65.571        0.000        6.920       25.087        2.422        0.000
     200.000 -1313757.073   103779.507    68241.299   186539.154     1192.215 -1868114.736   194605.486      -94.880      -46.346     -111.573      -55.621      -76.305      -46.648      -25.578      -62.159      -63.503     -114.722     -166.374       53.446       98.769     -137.362     -119.485      -54.937       13.753      -68.502      142.151     -143.047     -109.758      -51.043       81.617      120.786     -143.738      -55.933      -33.523      -50.524      -36.036      -47.158       88.765       91.328        4.702     -112.653     -170.139       16.282     -137.357      -53.722      148.989     -115.058      -51.422      -41.219      -39.786      -43.630      109.937      -89.219       53.706      121.190      177.044      -75.150      128.310     -118.623      -59.799      -83.285      134.522     -153.350       30.909     -135.360     -175.688       47.424        8.036      -85.409     -145.998      -93.809     -140.987     -119.432     -144.771     -122.823      154.359     -136.067     -123.502       88.035      -66.158      -41.233     -110.231      -56.627      -29.613      -42.705      147.757     -149.038      116.630     -162.885     -125.137       89.791      -91.968      -49.113     -173.631      -98.673      -64.701      -86.146      116.985     -136.583     -164.667     -129.952       66.436        0.000        6.920       24.048        2.595        0.000
     300.000 -1310573.832    99788.824    67014.971   185758.256     1338.944 -1859343.598   194868.771     -109.964      -49.520     -111.437      -56.399      -75.245      -45.669       -9.846      -57.964      -58.960     -120.696     -171.244       48.448       95.029     -132.179     -118.819      -58.488       11.813      -76.314      160.007     -133.651     -108.763      -43.958       74.469       91.081     -134.446      -44.727      -34.147      -44.490      -39.131      -49.428      106.891       82.245       19.841     -106.591     -169.875       10.006     -137.606      -57.425      136.486     -123.970      -50.082      -46.296      -23.797      -51.653      131.660      -85.342       55.547      130.986     -151.708      -60.365      125.914     -126.047      -59.740      -81.110      114.696     -146.080       36.130     -125.689     -174.110       42.873       30.399      -91.360     -159.601     -106.111     -150.802     -112.369     -117.606      -77.908      135.967     -133.415     -127.602       91.831     -105.945      -49.187      -89.947      -46.585      -44.760      -54.902     -106.646      -70.591      132.168     -171.514     -122.338       95.395      -83.708      -45.575     -179.237     -111.465      -52.392      -86.801      105.662     -143.210     -144.965     -123.055       66.609        0.000        9.689       23.010        0.692        0.000
     400.000 -1310542.943   101118.515    67874.243   185887.788     1186.755 -1859660.933   193050.688      -89.349      -48.654     -117.357      -64.118     -100.755      -51.111      -24.827      -72.019      -49.124     -120.493     -176.913       41.134      101.191     -136.530     -131.696      -66.045       15.315      -80.462      165.247     -136.437     -142.278      -67.323       66.757      118.752     -125.375      -45.927      -33.580      -46.675      -28.421      -49.754      104.293       87.301        0.119     -107.577     -163.464       17.310     -131.852      -54.536      147.989     -115.533      -45.253      -47.497      -14.751      -48.670      108.519      -88.189       73.504      159.394     -158.105      -63.761      127.060     -118.583      -71.480      -81.095      132.305     -150.475       33.429     -126.474     -172.633       45.515       12.718      -94.112     -146.275      -96.476     -162.046     -125.141     -103.060      -62.455      116.866     -144.489     -122.323       93.355     -110.064      -48.164      -86.747      -48.033      -45.547      -44.747     -123.092      -86.944      148.944     -167.664     -132.526       67.088      -86.107      -45.221     -163.565     -101.793      -61.082      -89.383      111.814     -137.872     -130.236     -126.661       68.339        0.000        6.920       24.048        0.692        0.000
     500.000 -1309590.999   104362.895    66319.587   185950.519     1182.621 -1854760.935   187354.313      -90.838      -49.399     -120.657      -64.429      -82.519      -44.061      -36.771      -70.374      -47.660     -133.885     -175.043       51.618       90.192     -137.868     -117.493      -65.436       15.235      -67.623      147.827     -130.753     -119.889      -55.375       66.898       91.107     -146.498      -55.535      -31.453      -46.765      -43.254      -50.715      113.939       91.213        7.869     -118.167     -162.921        6.704     -144.081      -55.226      156.464     -112.214      -51.669      -45.051      -14.171      -51.511      101.605      -81.969       71.756      154.706     -160.540      -67.665      119.031     -121.617      -70.021      -87.878      147.038     -138.117       31.218     -119.778     -154.585       93.990       36.282      -94.825     -172.608     -114.840     -161.001     -117.017     -111.788      -70.823      128.672     -131.948     -127.156       90.919     -103.873      -52.129      -69.783      -47.024      -44.129      -49.831     -152.434     -103.701      156.908     -155.093     -123.672       81.658      -85.690      -51.173     -168.830     -100.759      -59.746      -83.280      108.784     -142.017     -150.242     -127.088       63.322        0.000        8.304       27.682        0.692        0.000
     600.000 -1310987.768   104367.716    67443.164   185764.044     1175.318 -1856375.981   186637.971      -85.554      -48.808     -126.517      -69.181      -73.626      -48.533      -32.900      -53.212      -48.536     -120.245     -172.089       48.709       76.225     -132.352      -84.007      -45.764       10.782      -70.532      152.603     -140.422     -122.381      -51.584       70.906      122.065     -127.307      -45.940      -37.226      -45.897      -20.891      -44.598       86.544       91.250        3.324     -111.486     -162.869       11.169     -114.398      -45.879      142.632     -122.238      -57.315      -48.300      -23.346      -46.112      119.829      -82.765       76.461      170.879     -158.644      -64.595      133.050     -110.966      -69.218      -89.937      149.341     -120.519       10.909     -121.290     -148.015       85.051        0.105      -93.531     -170.796     -116.661     -155.749     -110.220     -105.562      -88.976      141.963     -130.228     -121.199       88.681      -96.411      -46.003      -83.759      -44.329      -49.745      -56.337     -151.040     -117.298      123.151     -168.930     -121.175      102.699      -68.064      -53.862     -141.695      -77.019      -62.379      -98.783      110.719     -141.041     -128.843     -123.366       67.474        0.000        6.920       24.913        0.692        0.000
     700.000 -1307852.370   100428.596    66868.037   185754.985     1210.030 -1851772.435   189658.417      -97.127      -45.860     -126.838      -67.889      -77.620      -44.455      -34.278      -55.884      -37.363     -123.291     -170.765       42.711       87.087     -136.283      -99.575      -50.059       20.769      -78.861      148.727     -143.869     -122.583      -52.793       64.268      104.964     -149.509      -52.513      -38.583      -49.342      -23.776      -41.062       88.704       91.202        9.757     -106.270     -165.703        6.841     -132.274      -49.262      153.757     -126.641      -34.152      -49.784      -17.765      -53.001      105.789      -87.698       66.794      142.208     -159.867      -67.067      118.252     -122.545     -105.251      -98.246      149.539     -153.590       24.175     -125.437     -147.975      119.841       51.965      -95.049     -167.188     -115.451     -167.101     -126.409     -125.975      -95.909      159.438     -129.216     -127.449       70.134      -96.940      -44.315      -85.137      -49.970      -41.092      -54.552     -167.923      -98.495       95.150     -172.960     -108.033      116.871      -72.946      -46.058     -148.304      -88.198      -54.424      -87.875       99.207     -137.126     -138.193     -123.488       65.398        0.000        9.689       24.048        0.865        0.000
     800.000 -1308280.915   103886.640    67388.410   185659.057     1239.861 -1850554.094   184099.212      -90.471      -45.987     -120.674      -67.023      -75.148      -45.156      -28.342      -64.899      -51.681     -123.116     -171.241       44.949       92.428     -140.158     -101.991      -54.910       36.512      -79.889      157.114     -129.390     -108.393      -51.069       67.431      108.309     -149.089      -60.346      -35.804      -53.064      -19.042      -53.014       89.058       95.270       -2.708     -127.039     -166.293       12.271     -129.145      -50.344      156.430     -121.729      -29.024      -43.693      -20.156      -53.234      109.008      -83.929       74.587      167.222     -152.779      -60.028      109.558     -125.987      -77.230      -81.188      129.622     -158.184       21.320     -102.442     -138.975      111.418       28.409      -94.261     -143.271      -88.549     -161.776     -122.016     -152.324     -124.696      146.508     -137.647     -121.004       80.564     -103.529      -47.369      -84.042      -48.640      -38.418      -51.489     -151.634      -95.120      117.649     -170.241     -117.175      103.654      -76.440      -44.729     -165.955     -106.019      -62.000      -85.745      113.897     -139.534     -145.961     -125.690       66.609        0.000        9.689       23.702        0.000        0.000
     900.000 -1310089.323   101894.052    67043.030   185671.600     1213.427 -1855743.389   189831.956      -95.962      -43.456     -127.815      -67.935      -85.480      -48.568      -41.430      -68.397      -38.364     -116.260     -166.307       40.356      107.110     -130.081     -108.145      -61.106       18.393      -71.094      159.408     -133.423     -111.239      -52.329       67.421      112.747     -130.233      -42.910      -33.103      -46.415      -32.563      -51.695      100.649       85.526       15.548     -112.107     -171.799       10.199     -130.938      -47.828      172.975     -120.710      -41.215      -48.439      -28.079      -46.883      105.603      -77.722       79.431     -176.577     -136.178      -52.176      109.006     -126.730      -62.128      -81.073      153.167     -156.701       16.930     -115.532     -131.250      134.298       50.412      -99.692     -160.843      -96.785     -157.123     -115.566     -116.361      -95.071      148.260     -138.156     -120.073       80.283      -95.891      -43.110     -100.480      -46.267      -50.619      -51.271      -93.099      -49.340      106.671     -159.003     -109.195      123.917      -82.311      -46.960     -147.036      -85.358      -64.517      -93.429       81.010     -152.584     -149.745     -126.835       68.166        0.000        7.612       22.837        1.384        0.000
